Добавлен,Название,Год,Жанр,Актёры,Оценка,Комментарий
22.09.2017 13:00:00,Телохранитель (The Bodyguard),1992,,Кевин Коснер,,
23.09.2017 13:00:00,Деньги решают все (Money Talks),1997,,,,
24.09.2017 13:00:00,Отчаянный (Desperado),1995,,,,
25.09.2017 13:00:00,Близнецы-драконы (Seong lung wui),1991,,,,
26.09.2017 13:00:00,Угнать за 60 секунд (Gone in Sixty Seconds),2000,,,,
27.09.2017 13:00:00,Игрок (The Gambler),2014,,,,
28.09.2017 13:00:00,Камера 211 (Celda 211),2009,,,,
29.09.2017 13:00:00,Пуленепробиваемый (Bulletproof Monk),2003,,,,
30.09.2017 13:00:00,Охотник на лис (Foxcatcher),,,,,
01.10.2017 13:00:00,Убийца (Sicario),2015,,,,
02.10.2017 13:00:00,"знакомтесь, Джо Блэк",,,,,
03.10.2017 13:00:00,Общак (The Drop),2014,,,,
04.10.2017 13:00:00,Круто сваренные (Lat sau san taam),1992,,,,
05.10.2017 13:00:00,рейд,,,,,
06.10.2017 13:00:00,бугимен,,,,,
07.10.2017 13:00:00,тихоокеанский рубеж,,,,7,
08.10.2017 13:00:00,хроники шаннары,,,,,
09.10.2017 13:00:00,элизиум или че с актером из мисси невыполнима,,,,,
10.10.2017 13:00:00,повелтитель бури,,,,,
11.10.2017 13:00:00,другой мир,,,,,
12.10.2017 13:00:00,конан варвар,2011,,,,
13.10.2017 13:00:00,детонатор,,,,,
14.10.2017 13:00:00,падение лондона,,,,,
15.10.2017 13:00:00,пиксели,,,,,
16.10.2017 13:00:00,горячие головы,,,,,
17.10.2017 13:00:00,комета,,,,,
18.10.2017 13:00:00,комната,,,,,
19.10.2017 13:00:00,изобретение лжи,,,,,
20.10.2017 13:00:00,на грани,,,,,
21.10.2017 13:00:00,экзамен,,,,,
22.10.2017 13:00:00,братья2013,,,,,
23.10.2017 13:00:00,Как я провел этим летом,,,,,
24.10.2017 13:00:00,В поисках галактики,1999,,,,
25.10.2017 13:00:00,Она,2016,,,,
26.10.2017 13:00:00,преступник,2016,,,,
27.10.2017 13:00:00,Фантом,1996,,,,
